w201912161530:1815.8365478515625, 201912161535:1819.7308959960938, 201912161540:1823.625244140625, 201912161545:1827.5195617675781, 201912161550:1831.4139099121094, 201912161555:1835.3082580566406, 201912161600:1865.1818542480469, 201912161605:1869.076171875, 201912161610:1872.9705200195312, 201912161615:1876.8648681640625, 201912161620:1880.7592163085938, 201912161625:1884.653564453125,
201912201225:1542.180419921875, 201912201230:1546.8110656738281, 201912201235:1551.4417114257812, 201912201240:1556.0723571777344, 201912201245:1560.7030029296875, 201912201250:1565.3336486816406, 201912201255:1569.9642944335938, 201912201300:1595.89990234375, 201912201305:1600.5305480957031, 201912201310:1605.1611938476562, 201912201315:1609.7918395996094, 201912201320:1614.4224853515625, 
201912201230:1548.7973937988281, 201912201235:1553.6099548339844, 201912201240:1558.4224853515625, 201912201245:1563.2350158691406, 201912201250:1568.0475463867188, 201912201255:1572.8600769042969, 201912201300:1597.3645629882812, 201912201305:1602.1770935058594, 201912201310:1606.9896240234375, 201912201315:1611.8021545410156, 201912201320:1616.6146850585938, 201912201325:1621.42724609375, 
201912201235:1556.81884765625, 201912201240:1560.3197937011719, 201912201245:1563.8207397460938, 201912201250:1567.3216857910156, 201912201255:1570.8226623535156, 201912201300:1609.1520385742188, 201912201305:1612.6529846191406, 201912201310:1616.1539611816406, 201912201315:1619.6549072265625, 201912201320:1623.1558532714844, 201912201325:1626.6567993164062, 201912201330:1630.1577758789062, 
201912201240:1553.0923156738281, 201912201245:1557.3016967773438, 201912201250:1561.5110473632812, 201912201255:1565.7203979492188, 201912201300:1595.5960998535156, 201912201305:1599.8054504394531, 201912201310:1604.0148010253906, 201912201315:1608.2241821289062, 201912201320:1612.4335327148438, 201912201325:1616.6428833007812, 201912201330:1620.8522644042969, 201912201335:1625.0616149902344, 
201912201245:1558.7088623046875, 201912201250:1563.1091918945312, 201912201255:1567.5095520019531, 201912201300:1596.1322326660156, 201912201305:1600.5325622558594, 201912201310:1604.9329223632812, 201912201315:1609.3332824707031, 201912201320:1613.733642578125, 201912201325:1618.1339721679688, 201912201330:1622.5343322753906, 201912201335:1626.9346923828125, 201912201340:1631.3350219726562, 
201912201250:1564.6587829589844, 201912201255:1569.8125, 201912201300:1589.806640625, 201912201305:1594.9603576660156, 201912201310:1600.1140747070312, 201912201315:1605.2677612304688, 201912201320:1610.4214782714844, 201912201325:1615.5751953125, 201912201330:1620.7289123535156, 201912201335:1625.8826293945312, 201912201340:1631.0363464355469, 201912201345:1636.1900634765625, 
201912201255:1569.2528991699219, 201912201300:1605.5280456542969, 201912201305:1609.2706604003906, 201912201310:1613.0132751464844, 201912201315:1616.7558898925781, 201912201320:1620.4985046386719, 201912201325:1624.2411193847656, 201912201330:1627.9837341308594, 201912201335:1631.7263488769531, 201912201340:1635.4689636230469, 201912201345:1639.2116088867188, 201912201350:1642.9542236328125, 
201912201300:1606.1835632324219, 201912201305:1610.0539245605469, 201912201310:1613.92431640625, 201912201315:1617.794677734375, 201912201320:1621.6650695800781, 201912201325:1625.5354309082031, 201912201330:1629.4057922363281, 201912201335:1633.2761840820312, 201912201340:1637.1465454101562, 201912201345:1641.0169372558594, 201912201350:1644.8872985839844, 201912201355:1648.7576904296875, 
201912201305:1605.1496887207031, 201912201310:1609.4582824707031, 201912201315:1613.7668762207031, 201912201320:1618.075439453125, 201912201325:1622.384033203125, 201912201330:1626.692626953125, 201912201335:1631.001220703125, 201912201340:1635.309814453125, 201912201345:1639.618408203125, 201912201350:1643.927001953125, 201912201355:1648.2355651855469, 201912201400:1677.8206176757812, 
201912201310:1611.3330078125, 201912201315:1615.5213928222656, 201912201320:1619.7098083496094, 201912201325:1623.8982238769531, 201912201330:1628.0866394042969, 201912201335:1632.2750244140625, 201912201340:1636.4634399414062, 201912201345:1640.65185546875, 201912201350:1644.8402404785156, 201912201355:1649.0286560058594, 201912201400:1679.4808959960938, 201912201405:1683.6692810058594, 
201912201315:1611.43994140625, 201912201320:1616.0524597167969, 201912201325:1620.6650085449219, 201912201330:1625.2775268554688, 201912201335:1629.8900451660156, 201912201340:1634.5025634765625, 201912201345:1639.1150817871094, 201912201350:1643.7276306152344, 201912201355:1648.3401489257812, 201912201400:1674.2424926757812, 201912201405:1678.8550109863281, 201912201410:1683.467529296875, 
201912201320:1609.2410583496094, 201912201325:1614.3292236328125, 201912201330:1619.4173889160156, 201912201335:1624.5055541992188, 201912201340:1629.5936889648438, 201912201345:1634.6818542480469, 201912201350:1639.77001953125, 201912201355:1644.8581848144531, 201912201400:1666.3103637695312, 201912201405:1671.3985290527344, 201912201410:1676.4866943359375, 201912201415:1681.5748291015625, 
201912201325:1614.4095153808594, 201912201330:1618.7012023925781, 201912201335:1622.9928894042969, 201912201340:1627.2845764160156, 201912201345:1631.5762634277344, 201912201350:1635.8679504394531, 201912201355:1640.1596374511719, 201912201400:1670.5433044433594, 201912201405:1674.8349914550781, 201912201410:1679.1266784667969, 201912201415:1683.4183654785156, 201912201420:1687.7100524902344, 
201912201330:1628.8017578125, 201912201335:1633.4613037109375, 201912201340:1638.120849609375, 201912201345:1642.7803955078125, 201912201350:1647.4399719238281, 201912201355:1652.0995178222656, 201912201400:1677.9764099121094, 201912201405:1682.6359558105469, 201912201410:1687.2955322265625, 201912201415:1691.955078125, 201912201420:1696.6146240234375, 201912201425:1701.274169921875, 
201912201335:1634.8758544921875, 201912201340:1639.1242065429688, 201912201345:1643.37255859375, 201912201350:1647.6209106445312, 201912201355:1651.8692626953125, 201912201400:1681.7211303710938, 201912201405:1685.969482421875, 201912201410:1690.2178344726562, 201912201415:1694.4661865234375, 201912201420:1698.7145385742188, 201912201425:1702.962890625, 201912201430:1707.2112426757812, 
201912201340:1640.26953125, 201912201345:1644.3731994628906, 201912201350:1648.4768371582031, 201912201355:1652.5804748535156, 201912201400:1684.9360656738281, 201912201405:1689.0397338867188, 201912201410:1693.1433715820312, 201912201415:1697.2470397949219, 201912201420:1701.3506774902344, 201912201425:1705.4543151855469, 201912201430:1709.5579833984375, 201912201435:1713.66162109375, 
201912201345:1636.4871978759766, 201912201350:1639.330581665039, 201912201355:1642.1739654541016, 201912201400:1687.7376556396484, 201912201405:1690.5810241699219, 201912201410:1693.4244079589844, 201912201415:1696.2677917480469, 201912201420:1699.1111755371094, 201912201425:1701.9545593261719, 201912201430:1704.7979431152344, 201912201435:1707.6413269042969, 201912201440:1710.4847106933594, 
201912201350:1650.2768249511719, 201912201355:1654.6211547851562, 201912201400:1684.6888732910156, 201912201405:1689.033203125, 201912201410:1693.3775329589844, 201912201415:1697.7218627929688, 201912201420:1702.0661926269531, 201912201425:1706.4104919433594, 201912201430:1710.7548217773438, 201912201435:1715.0991516113281, 201912201440:1719.4434814453125, 201912201445:1723.7878112792969, 
201912201355:1656.3197631835938, 201912201400:1674.1876831054688, 201912201405:1679.6106262207031, 201912201410:1685.0335388183594, 201912201415:1690.4564819335938, 201912201420:1695.8794250488281, 201912201425:1701.3023376464844, 201912201430:1706.7252807617188, 201912201435:1712.148193359375, 201912201440:1717.5711364746094, 201912201445:1722.9940795898438, 201912201450:1728.4169921875, 
201912201400:1684.5981140136719, 201912201405:1688.135498046875, 201912201410:1691.6728820800781, 201912201415:1695.2102661132812, 201912201420:1698.7476501464844, 201912201425:1702.2850341796875, 201912201430:1705.8224182128906, 201912201435:1709.3598327636719, 201912201440:1712.897216796875, 201912201445:1716.4346008300781, 201912201450:1719.9719848632812, 201912201455:1723.5093688964844, 
201912201405:1682.5442810058594, 201912201410:1686.1337280273438, 201912201415:1689.7231750488281, 201912201420:1693.3126525878906, 201912201425:1696.902099609375, 201912201430:1700.4915466308594, 201912201435:1704.0809936523438, 201912201440:1707.6704711914062, 201912201445:1711.2599182128906, 201912201450:1714.849365234375, 201912201455:1718.4388427734375, 201912201500:1755.3945922851562, 
201912201410:1684.7594604492188, 201912201415:1689.3395385742188, 201912201420:1693.9196472167969, 201912201425:1698.499755859375, 201912201430:1703.079833984375, 201912201435:1707.6599426269531, 201912201440:1712.2400512695312, 201912201445:1716.8201293945312, 201912201450:1721.4002380371094, 201912201455:1725.9803466796875, 201912201500:1752.838134765625, 201912201505:1757.418212890625, 
201912201415:1684.7596130371094, 201912201420:1689.8369750976562, 201912201425:1694.9143371582031, 201912201430:1699.9916687011719, 201912201435:1705.0690307617188, 201912201440:1710.1463928222656, 201912201445:1715.2237548828125, 201912201450:1720.3010864257812, 201912201455:1725.3784484863281, 201912201500:1746.9316711425781, 201912201505:1752.009033203125, 201912201510:1757.0863952636719, 
201912201420:1691.0954284667969, 201912201425:1694.8902282714844, 201912201430:1698.6849975585938, 201912201435:1702.4797973632812, 201912201440:1706.2745666503906, 201912201445:1710.0693664550781, 201912201450:1713.8641357421875, 201912201455:1717.658935546875, 201912201500:1753.5393371582031, 201912201505:1757.3341064453125, 201912201510:1761.12890625, 201912201515:1764.9237060546875, 
201912201425:1700.49462890625, 201912201430:1704.0540161132812, 201912201435:1707.6133728027344, 201912201440:1711.1727294921875, 201912201445:1714.7321166992188, 201912201450:1718.2914733886719, 201912201455:1721.850830078125, 201912201500:1760.7254943847656, 201912201505:1764.2848510742188, 201912201510:1767.8442077636719, 201912201515:1771.4035949707031, 201912201520:1774.9629516601562, 
201912201430:1699.126708984375, 201912201435:1703.242431640625, 201912201440:1707.358154296875, 201912201445:1711.4739074707031, 201912201450:1715.5896301269531, 201912201455:1719.7053527832031, 201912201500:1751.5712585449219, 201912201505:1755.68701171875, 201912201510:1759.802734375, 201912201515:1763.91845703125, 201912201520:1768.0342102050781, 201912201525:1772.1499328613281, 
201912201435:1713.3413696289062, 201912201440:1719.2139282226562, 201912201445:1725.0864868164062, 201912201450:1730.9590759277344, 201912201455:1736.8316345214844, 201912201500:1749.0183410644531, 201912201505:1754.8908996582031, 201912201510:1760.7634582519531, 201912201515:1766.6360168457031, 201912201520:1772.5085754394531, 201912201525:1778.3811340332031, 201912201530:1784.2536926269531, 
201912201440:1712.0481262207031, 201912201445:1717.2921142578125, 201912201450:1722.5360717773438, 201912201455:1727.780029296875, 201912201500:1746.8861999511719, 201912201505:1752.1301574707031, 201912201510:1757.3741149902344, 201912201515:1762.6181030273438, 201912201520:1767.862060546875, 201912201525:1773.1060180664062, 201912201530:1778.3500061035156, 201912201535:1783.5939636230469, 
201912201445:1725.703125, 201912201450:1730.1603393554688, 201912201455:1734.6175537109375, 201912201500:1762.9400024414062, 201912201505:1767.397216796875, 201912201510:1771.8544006347656, 201912201515:1776.3116149902344, 201912201520:1780.7688293457031, 201912201525:1785.2260131835938, 201912201530:1789.6832275390625, 201912201535:1794.1404113769531, 201912201540:1798.5976257324219, 
201912201450:1721.9712219238281, 201912201455:1727.3801574707031, 201912201500:1744.8880004882812, 201912201505:1750.2969360351562, 201912201510:1755.7058410644531, 201912201515:1761.1147766113281, 201912201520:1766.523681640625, 201912201525:1771.9326171875, 201912201530:1777.3415222167969, 201912201535:1782.7504272460938, 201912201540:1788.1593627929688, 201912201545:1793.5682678222656, 
201912201455:1732.0347290039062, 201912201500:1764.5512390136719, 201912201505:1768.6339416503906, 201912201510:1772.7166748046875, 201912201515:1776.7993774414062, 201912201520:1780.882080078125, 201912201525:1784.9648132324219, 201912201530:1789.0475158691406, 201912201535:1793.1302490234375, 201912201540:1797.2129516601562, 201912201545:1801.295654296875, 201912201550:1805.3783874511719, 
201912201500:1753.9953002929688, 201912201505:1757.8386535644531, 201912201510:1761.6819763183594, 201912201515:1765.5252990722656, 201912201520:1769.36865234375, 201912201525:1773.2119750976562, 201912201530:1777.0553283691406, 201912201535:1780.8986511230469, 201912201540:1784.7420043945312, 201912201545:1788.5853271484375, 201912201550:1792.4286499023438, 201912201555:1796.2720031738281, 
201912201505:1752.9789123535156, 201912201510:1757.3558959960938, 201912201515:1761.7328796386719, 201912201520:1766.1098937988281, 201912201525:1770.4868774414062, 201912201530:1774.8638610839844, 201912201535:1779.2408447265625, 201912201540:1783.6178588867188, 201912201545:1787.9948425292969, 201912201550:1792.371826171875, 201912201555:1796.7488098144531, 201912201600:1825.1098022460938, 
201912201510:1753.0935974121094, 201912201515:1757.7726440429688, 201912201520:1762.45166015625, 201912201525:1767.1307067871094, 201912201530:1771.8097229003906, 201912201535:1776.4887390136719, 201912201540:1781.1677856445312, 201912201545:1785.8468017578125, 201912201550:1790.5258483886719, 201912201555:1795.2048645019531, 201912201600:1820.6592102050781, 201912201605:1825.3382568359375, 
201912201515:1781.8255004882812, 201912201520:1786.3956909179688, 201912201525:1790.9658813476562, 201912201530:1795.5360412597656, 201912201535:1800.1062316894531, 201912201540:1804.6763916015625, 201912201545:1809.24658203125, 201912201550:1813.8167724609375, 201912201555:1818.3869323730469, 201912201600:1846.0850219726562, 201912201605:1850.6551818847656, 201912201610:1855.2253723144531, 
201912201520:1769.2639770507812, 201912201525:1773.7103881835938, 201912201530:1778.1567993164062, 201912201535:1782.6031799316406, 201912201540:1787.0495910644531, 201912201545:1791.4959716796875, 201912201550:1795.9423828125, 201912201555:1800.3887634277344, 201912201600:1828.4824523925781, 201912201605:1832.9288330078125, 201912201610:1837.375244140625, 201912201615:1841.8216552734375, 
201912201525:1780.9030151367188, 201912201530:1785.2748718261719, 201912201535:1789.646728515625, 201912201540:1794.0185852050781, 201912201545:1798.3904724121094, 201912201550:1802.7623291015625, 201912201555:1807.1341857910156, 201912201600:1836.8443298339844, 201912201605:1841.2161865234375, 201912201610:1845.5880432128906, 201912201615:1849.9598999023438, 201912201620:1854.3317565917969, 
201912201530:1775.3068237304688, 201912201535:1780.0587768554688, 201912201540:1784.8107299804688, 201912201545:1789.5626525878906, 201912201550:1794.3146057128906, 201912201555:1799.0665588378906, 201912201600:1823.7497863769531, 201912201605:1828.5017395019531, 201912201610:1833.2536926269531, 201912201615:1838.0056457519531, 201912201620:1842.7575988769531, 201912201625:1847.5095520019531, 
201912201535:1782.9039001464844, 201912201540:1786.6611328125, 201912201545:1790.4183654785156, 201912201550:1794.1755676269531, 201912201555:1797.9328002929688, 201912201600:1834.1725463867188, 201912201605:1837.9297485351562, 201912201610:1841.6869812011719, 201912201615:1845.4441833496094, 201912201620:1849.201416015625, 201912201625:1852.9586181640625, 201912201630:1856.7158508300781, 
201912201540:1786.2791137695312, 201912201545:1790.74072265625, 201912201550:1795.2023010253906, 201912201555:1799.6639099121094, 201912201600:1827.3290405273438, 201912201605:1831.7906494140625, 201912201610:1836.2522277832031, 201912201615:1840.7138366699219, 201912201620:1845.1754150390625, 201912201625:1849.6370239257812, 201912201630:1854.0986022949219, 201912201635:1858.5601806640625, 
201912201545:1789.8901062011719, 201912201550:1794.5552368164062, 201912201555:1799.2203979492188, 201912201600:1825.5703735351562, 201912201605:1830.2355041503906, 201912201610:1834.9006652832031, 201912201615:1839.5657958984375, 201912201620:1844.23095703125, 201912201625:1848.8960876464844, 201912201630:1853.5612487792969, 201912201635:1858.2263793945312, 201912201640:1862.8915405273438, 
201912201550:1798.7878723144531, 201912201555:1804.2175598144531, 201912201600:1820.9034729003906, 201912201605:1826.3331604003906, 201912201610:1831.7628479003906, 201912201615:1837.1925354003906, 201912201620:1842.6222229003906, 201912201625:1848.0519104003906, 201912201630:1853.4815979003906, 201912201635:1858.9112854003906, 201912201640:1864.3409729003906, 201912201645:1869.7706604003906, 
201912201555:1804.3167419433594, 201912201600:1830.6070251464844, 201912201605:1835.2816162109375, 201912201610:1839.9562072753906, 201912201615:1844.6308288574219, 201912201620:1849.305419921875, 201912201625:1853.9800415039062, 201912201630:1858.6546325683594, 201912201635:1863.3292541503906, 201912201640:1868.0038452148438, 201912201645:1872.6784362792969, 201912201650:1877.3530578613281, 
201912201600:1831.6749267578125, 201912201605:1836.6717529296875, 201912201610:1841.6685791015625, 201912201615:1846.6654052734375, 201912201620:1851.6622009277344, 201912201625:1856.6590270996094, 201912201630:1861.6558532714844, 201912201635:1866.6526794433594, 201912201640:1871.6494750976562, 201912201645:1876.6463012695312, 201912201650:1881.6431274414062, 201912201655:1886.6399536132812, 
201912201605:1825.7401733398438, 201912201610:1831.2623901367188, 201912201615:1836.7846069335938, 201912201620:1842.3068237304688, 201912201625:1847.8290710449219, 201912201630:1853.3512878417969, 201912201635:1858.8735046386719, 201912201640:1864.3957214355469, 201912201645:1869.91796875, 201912201650:1875.440185546875, 201912201655:1880.96240234375, 201912201700:1897.3327026367188, 
201912201610:1837.2904663085938, 201912201615:1841.9588623046875, 201912201620:1846.6272277832031, 201912201625:1851.2955932617188, 201912201630:1855.9639892578125, 201912201635:1860.6323547363281, 201912201640:1865.3007202148438, 201912201645:1869.9691162109375, 201912201650:1874.6374816894531, 201912201655:1879.3058471679688, 201912201700:1904.9072265625, 201912201705:1909.5755920410156, 
201912201615:1846.4930725097656, 201912201620:1851.0469665527344, 201912201625:1855.600830078125, 201912201630:1860.1547241210938, 201912201635:1864.7086181640625, 201912201640:1869.2624816894531, 201912201645:1873.8163757324219, 201912201650:1878.3702392578125, 201912201655:1882.9241333007812, 201912201700:1910.3516845703125, 201912201705:1914.9055786132812, 201912201710:1919.45947265625, 
201912201620:1842.8453369140625, 201912201625:1847.6732482910156, 201912201630:1852.5011291503906, 201912201635:1857.3290405273438, 201912201640:1862.1569213867188, 201912201645:1866.9848327636719, 201912201650:1871.812744140625, 201912201655:1876.640625, 201912201700:1899.616455078125, 201912201705:1904.4443359375, 201912201710:1909.2722473144531, 201912201715:1914.1001586914062, 
201912201625:1860.5950317382812, 201912201630:1865.7090759277344, 201912201635:1870.8231201171875, 201912201640:1875.9371948242188, 201912201645:1881.0512390136719, 201912201650:1886.165283203125, 201912201655:1891.2793579101562, 201912201700:1913.471435546875, 201912201705:1918.5854797363281, 201912201710:1923.6995544433594, 201912201715:1928.8135986328125, 201912201720:1933.9276428222656, 
201912201630:1862.1340942382812, 201912201635:1866.7448120117188, 201912201640:1871.3555297851562, 201912201645:1875.9662475585938, 201912201650:1880.5769653320312, 201912201655:1885.1876831054688, 201912201700:1912.2209777832031, 201912201705:1916.8316955566406, 201912201710:1921.4424133300781, 201912201715:1926.0531311035156, 201912201720:1930.6638488769531, 201912201725:1935.2745666503906, 
201912201635:1859.7819213867188, 201912201640:1863.9880676269531, 201912201645:1868.1942138671875, 201912201650:1872.400390625, 201912201655:1876.6065368652344, 201912201700:1907.1086120605469, 201912201705:1911.3147583007812, 201912201710:1915.5209045410156, 201912201715:1919.7270812988281, 201912201720:1923.9332275390625, 201912201725:1928.1393737792969, 201912201730:1932.3455505371094, 
201912201640:1873.9642639160156, 201912201645:1877.8330078125, 201912201650:1881.7017517089844, 201912201655:1885.5704956054688, 201912201700:1920.2046813964844, 201912201705:1924.0734252929688, 201912201710:1927.9421691894531, 201912201715:1931.8109130859375, 201912201720:1935.6796875, 201912201725:1939.5484313964844, 201912201730:1943.4171752929688, 201912201735:1947.2859191894531, 
201912201645:1866.6961669921875, 201912201650:1870.5839538574219, 201912201655:1874.4717407226562, 201912201700:1908.3818359375, 201912201705:1912.2696228027344, 201912201710:1916.1574096679688, 201912201715:1920.0451965332031, 201912201720:1923.9329833984375, 201912201725:1927.82080078125, 201912201730:1931.7085876464844, 201912201735:1935.5963745117188, 201912201740:1939.4841613769531, 
201912201650:1867.4434509277344, 201912201655:1872.1320190429688, 201912201700:1897.4129028320312, 201912201705:1902.1015014648438, 201912201710:1906.7900695800781, 201912201715:1911.4786376953125, 201912201720:1916.167236328125, 201912201725:1920.8558044433594, 201912201730:1925.5444030761719, 201912201735:1930.2329711914062, 201912201740:1934.9215393066406, 201912201745:1939.6101379394531, 
201912201655:1878.5889892578125, 201912201700:1899.3721008300781, 201912201705:1904.50244140625, 201912201710:1909.6328125, 201912201715:1914.7631530761719, 201912201720:1919.8935241699219, 201912201725:1925.0238647460938, 201912201730:1930.1542358398438, 201912201735:1935.2845764160156, 201912201740:1940.4149169921875, 201912201745:1945.5452880859375, 201912201750:1950.6756286621094, 
201912201700:1914.7766723632812, 201912201705:1918.2889099121094, 201912201710:1921.8011169433594, 201912201715:1925.3133544921875, 201912201720:1928.8255920410156, 201912201725:1932.3377990722656, 201912201730:1935.8500366210938, 201912201735:1939.3622741699219, 201912201740:1942.87451171875, 201912201745:1946.38671875, 201912201750:1949.8989562988281, 201912201755:1953.4111938476562, 
201912201705:1918.7774963378906, 201912201710:1922.5974731445312, 201912201715:1926.4174499511719, 201912201720:1930.2373962402344, 201912201725:1934.057373046875, 201912201730:1937.8773498535156, 201912201735:1941.6972961425781, 201912201740:1945.5172729492188, 201912201745:1949.3372497558594, 201912201750:1953.1571960449219, 201912201755:1956.9771728515625, 201912201800:1992.7560119628906, 
201912201710:1918.9146728515625, 201912201715:1923.343505859375, 201912201720:1927.7723388671875, 201912201725:1932.201171875, 201912201730:1936.6299743652344, 201912201735:1941.0588073730469, 201912201740:1945.4876403808594, 201912201745:1949.9164733886719, 201912201750:1954.3453063964844, 201912201755:1958.7741088867188, 201912201800:1987.1610717773438, 201912201805:1991.5899047851562, 
201912201715:1911.3796691894531, 201912201720:1916.1147766113281, 201912201725:1920.8499145507812, 201912201730:1925.5850219726562, 201912201735:1930.3201293945312, 201912201740:1935.0552673339844, 201912201745:1939.7903747558594, 201912201750:1944.5254821777344, 201912201755:1949.2605895996094, 201912201800:1973.9005126953125, 201912201805:1978.6356506347656, 201912201810:1983.3707580566406, 
201912201720:1913.3106994628906, 201912201725:1917.979248046875, 201912201730:1922.6477966308594, 201912201735:1927.3163757324219, 201912201740:1931.9849243164062, 201912201745:1936.6535034179688, 201912201750:1941.3220520019531, 201912201755:1945.9906005859375, 201912201800:1970.7699890136719, 201912201805:1975.4385375976562, 201912201810:1980.1071166992188, 201912201815:1984.7756652832031, 
201912201725:1926.5098266601562, 201912201730:1930.7720642089844, 201912201735:1935.0343017578125, 201912201740:1939.2965393066406, 201912201745:1943.5587768554688, 201912201750:1947.8210144042969, 201912201755:1952.083251953125, 201912201800:1982.0431823730469, 201912201805:1986.305419921875, 201912201810:1990.5676574707031, 201912201815:1994.8298950195312, 201912201820:1999.0921020507812, 
201912201730:1933.5702209472656, 201912201735:1938.0150451660156, 201912201740:1942.4598388671875, 201912201745:1946.9046630859375, 201912201750:1951.3494567871094, 201912201755:1955.7942810058594, 201912201800:1984.38671875, 201912201805:1988.8315124511719, 201912201810:1993.2763366699219, 201912201815:1997.7211303710938, 201912201820:2002.1659545898438, 201912201825:2006.6107482910156, 
201912201735:1933.4066467285156, 201912201740:1938.2008361816406, 201912201745:1942.9949951171875, 201912201750:1947.7891845703125, 201912201755:1952.5833435058594, 201912201800:1976.8355407714844, 201912201805:1981.6296997070312, 201912201810:1986.4238891601562, 201912201815:1991.2180480957031, 201912201820:1996.0122375488281, 201912201825:2000.806396484375, 201912201830:2005.6005859375, 
201912201740:1939.5471801757812, 201912201745:1943.69287109375, 201912201750:1947.8385620117188, 201912201755:1951.9842529296875, 201912201800:1983.5308837890625, 201912201805:1987.6765747070312, 201912201810:1991.822265625, 201912201815:1995.9679565429688, 201912201820:2000.1136474609375, 201912201825:2004.2593383789062, 201912201830:2008.405029296875, 201912201835:2012.5507202148438, 
201912201745:1956.1570434570312, 201912201750:1961.6723937988281, 201912201755:1967.187744140625, 201912201800:1982.7916564941406, 201912201805:1988.3070068359375, 201912201810:1993.8223571777344, 201912201815:1999.3376770019531, 201912201820:2004.85302734375, 201912201825:2010.3683776855469, 201912201830:2015.8836975097656, 201912201835:2021.3990478515625, 201912201840:2026.9143981933594, 
201912201750:1929.51611328125, 201912201755:1932.7056579589844, 201912201800:1973.847183227539, 201912201805:1977.0367279052734, 201912201810:1980.2262725830078, 201912201815:1983.4158172607422, 201912201820:1986.6053619384766, 201912201825:1989.794906616211, 201912201830:1992.9844512939453, 201912201835:1996.1739807128906, 201912201840:1999.363525390625, 201912201845:2002.5530700683594, 
201912201755:1958.7083435058594, 201912201800:1980.4249572753906, 201912201805:1985.5170593261719, 201912201810:1990.6091613769531, 201912201815:1995.7012634277344, 201912201820:2000.7933959960938, 201912201825:2005.885498046875, 201912201830:2010.9776000976562, 201912201835:2016.0697021484375, 201912201840:2021.1618041992188, 201912201845:2026.25390625, 201912201850:2031.3460083007812, 
201912201800:1981.0577697753906, 201912201805:1985.7507629394531, 201912201810:1990.4437255859375, 201912201815:1995.13671875, 201912201820:1999.8296813964844, 201912201825:2004.5226745605469, 201912201830:2009.2156372070312, 201912201835:2013.9086303710938, 201912201840:2018.6015930175781, 201912201845:2023.2945861816406, 201912201850:2027.987548828125, 201912201855:2032.6805419921875, 
201912201805:1986.1663818359375, 201912201810:1991.0261535644531, 201912201815:1995.8859252929688, 201912201820:2000.7456970214844, 201912201825:2005.60546875, 201912201830:2010.4652404785156, 201912201835:2015.3250122070312, 201912201840:2020.1847839355469, 201912201845:2025.0445556640625, 201912201850:2029.9043273925781, 201912201855:2034.7640991210938, 201912201900:2058.153564453125, 
201912201810:1993.8351135253906, 201912201815:1998.0145874023438, 201912201820:2002.1940612792969, 201912201825:2006.3735046386719, 201912201830:2010.552978515625, 201912201835:2014.7324523925781, 201912201840:2018.9118957519531, 201912201845:2023.0913696289062, 201912201850:2027.2708435058594, 201912201855:2031.4503173828125, 201912201900:2063.386749267578, 201912201905:2067.5662231445312, 
201912201815:1996.1995239257812, 201912201820:2001.0730895996094, 201912201825:2005.9466247558594, 201912201830:2010.8201599121094, 201912201835:2015.6937255859375, 201912201840:2020.5672607421875, 201912201845:2025.4408264160156, 201912201850:2030.3143615722656, 201912201855:2035.1878967285156, 201912201900:2059.286376953125, 201912201905:2064.159912109375, 201912201910:2069.033477783203, 
201912201820:2002.2224731445312, 201912201825:2007.2423706054688, 201912201830:2012.2622680664062, 201912201835:2017.2821350097656, 201912201840:2022.3020324707031, 201912201845:2027.3219299316406, 201912201850:2032.341796875, 201912201855:2037.3616943359375, 201912201900:2060.3594665527344, 201912201905:2065.379364013672, 201912201910:2070.3992309570312, 201912201915:2075.4191284179688, 
201912201825:2000.7957153320312, 201912201830:2005.0187377929688, 201912201835:2009.2417602539062, 201912201840:2013.4648132324219, 201912201845:2017.6878356933594, 201912201850:2021.9108581542969, 201912201855:2026.1338806152344, 201912201900:2056.4146423339844, 201912201905:2060.6376953125, 201912201910:2064.8607177734375, 201912201915:2069.083740234375, 201912201920:2073.3067626953125, 
201912201830:2008.9526062011719, 201912201835:2014.1535949707031, 201912201840:2019.3545837402344, 201912201845:2024.5556030273438, 201912201850:2029.756591796875, 201912201855:2034.9575805664062, 201912201900:2055.4672241210938, 201912201905:2060.668212890625, 201912201910:2065.8692321777344, 201912201915:2071.0702209472656, 201912201920:2076.271209716797, 201912201925:2081.4722290039062, 
201912201835:2014.0182189941406, 201912201840:2018.0413513183594, 201912201845:2022.0644836425781, 201912201850:2026.0876159667969, 201912201855:2030.1107482910156, 201912201900:2062.8668518066406, 201912201905:2066.8899841308594, 201912201910:2070.9131469726562, 201912201915:2074.936279296875, 201912201920:2078.9594116210938, 201912201925:2082.9825439453125, 201912201930:2087.0056762695312, 
201912201840:2024.185546875, 201912201845:2028.8539733886719, 201912201850:2033.5224304199219, 201912201855:2038.1908874511719, 201912201900:2065.405487060547, 201912201905:2070.0739135742188, 201912201910:2074.7423706054688, 201912201915:2079.4108276367188, 201912201920:2084.0792541503906, 201912201925:2088.7477111816406, 201912201930:2093.4161682128906, 201912201935:2098.0845947265625, 
201912201845:2029.0138244628906, 201912201850:2033.9768371582031, 201912201855:2038.9398803710938, 201912201900:2062.2313842773438, 201912201905:2067.1943969726562, 201912201910:2072.1574096679688, 201912201915:2077.1204528808594, 201912201920:2082.083465576172, 201912201925:2087.0464782714844, 201912201930:2092.009521484375, 201912201935:2096.9725341796875, 201912201940:2101.935546875, 
