w201912161530:1815.8365478515625, 201912161535:1819.7308959960938, 201912161540:1823.625244140625, 201912161545:1827.5195617675781, 201912161550:1831.4139099121094, 201912161555:1835.3082580566406, 201912161600:1865.1818542480469, 201912161605:1869.076171875, 201912161610:1872.9705200195312, 201912161615:1876.8648681640625, 201912161620:1880.7592163085938, 201912161625:1884.653564453125,
201912161925:2060.8289184570312, 201912161930:2064.6670532226562, 201912161935:2068.5051879882812, 201912161940:2072.3433227539062, 201912161945:2076.1814575195312, 201912161950:2080.0195922851562, 201912161955:2083.8577270507812, 201912162000:2112.47412109375, 201912162005:2116.312286376953, 201912162010:2120.150421142578, 201912162015:2123.988555908203, 201912162020:2127.826690673828, 
201912161930:2065.6268310546875, 201912161935:2069.8616333007812, 201912161940:2074.096466064453, 201912161945:2078.331268310547, 201912161950:2082.5660705566406, 201912161955:2086.8009033203125, 201912162000:2111.5509033203125, 201912162005:2115.7857055664062, 201912162010:2120.020538330078, 201912162015:2124.255340576172, 201912162020:2128.4901733398438, 201912162025:2132.7249755859375, 
201912161935:2094.076629638672, 201912161940:2098.2328186035156, 201912161945:2102.3890075683594, 201912161950:2106.545196533203, 201912161955:2110.701385498047, 201912162000:2137.978759765625, 201912162005:2142.1349487304688, 201912162010:2146.2911376953125, 201912162015:2150.4473266601562, 201912162020:2154.603546142578, 201912162025:2158.759735107422, 201912162030:2162.9159240722656, 
201912161940:2089.4180603027344, 201912161945:2093.804901123047, 201912161950:2098.1917419433594, 201912161955:2102.5785522460938, 201912162000:2126.300018310547, 201912162005:2130.6868286132812, 201912162010:2135.0736694335938, 201912162015:2139.4605102539062, 201912162020:2143.8473510742188, 201912162025:2148.2341918945312, 201912162030:2152.6210021972656, 201912162035:2157.007843017578, 
201912161945:2096.5948181152344, 201912161950:2101.3255310058594, 201912161955:2106.0562133789062, 201912162000:2126.1127014160156, 201912162005:2130.8433837890625, 201912162010:2135.5740966796875, 201912162015:2140.3048095703125, 201912162020:2145.0354919433594, 201912162025:2149.7662048339844, 201912162030:2154.4969177246094, 201912162035:2159.2276000976562, 201912162040:2163.9583129882812, 
201912161950:2106.310791015625, 201912161955:2110.7955322265625, 201912162000:2133.9288635253906, 201912162005:2138.41357421875, 201912162010:2142.8982849121094, 201912162015:2147.3829956054688, 201912162020:2151.867706298828, 201912162025:2156.3524475097656, 201912162030:2160.837158203125, 201912162035:2165.3218688964844, 201912162040:2169.8065795898438, 201912162045:2174.291290283203, 
201912161955:2117.5260009765625, 201912162000:2141.3074645996094, 201912162005:2145.8423461914062, 201912162010:2150.377227783203, 201912162015:2154.912139892578, 201912162020:2159.447021484375, 201912162025:2163.981903076172, 201912162030:2168.5167846679688, 201912162035:2173.0516662597656, 201912162040:2177.5865478515625, 201912162045:2182.1214599609375, 201912162050:2186.6563415527344, 
201912162000:2136.178192138672, 201912162005:2139.663299560547, 201912162010:2143.148406982422, 201912162015:2146.633514404297, 201912162020:2150.118621826172, 201912162025:2153.603729248047, 201912162030:2157.088836669922, 201912162035:2160.573944091797, 201912162040:2164.0590209960938, 201912162045:2167.5441284179688, 201912162050:2171.0292358398438, 201912162055:2174.5143432617188, 
201912162005:2141.8800659179688, 201912162010:2146.1643676757812, 201912162015:2150.448699951172, 201912162020:2154.7330017089844, 201912162025:2159.017333984375, 201912162030:2163.3016357421875, 201912162035:2167.585968017578, 201912162040:2171.8702697753906, 201912162045:2176.154571533203, 201912162050:2180.4389038085938, 201912162055:2184.7232055664062, 201912162100:2209.9434509277344, 
201912162010:2130.7164916992188, 201912162015:2135.4835815429688, 201912162020:2140.2506408691406, 201912162025:2145.0177307128906, 201912162030:2149.7847900390625, 201912162035:2154.5518798828125, 201912162040:2159.3189697265625, 201912162045:2164.0860290527344, 201912162050:2168.8531188964844, 201912162055:2173.6201782226562, 201912162100:2192.9354858398438, 201912162105:2197.7025451660156, 
